rue,nom
1,Allée André Réthoré
2,Allée Auguste Rodin
3,Allée Camille Blanc
4,Allée Camille Claudel
5,Allée de la Source
6,Allée des Châtaigniers
7,Allée des Longueraies
8,Allée Georges Charpak
9,Allée Germaine Tillion
10,Allée Guillaume Apollinaire
11,Allée Hoche
12,Allée Pierre de Coubertin
13,Allée Pierre-Gilles de Gennes
14,Avenue Colonel Frédéric Manhès
15,Avenue de la République
16,Avenue de Verdun
17,Avenue du 14 Juillet
18,Avenue du 19 mars 1962
19,Avenue du 8 mai 1945
20,Avenue du Jonc
21,Avenue Edouard Vaillant
22,Avenue Henri Brisson
23,Avenue Jean Jaurès
24,Avenue Maréchal de Lattre de Tassigny
25,Avenue Maréchal Leclerc de Hauteclocque
26,Avenue Pierre Billes
27,Avenue Pierre Sémard
28,Bonègue
29,Boulevard  Salvador Allende
30,Boulevard de la Liberté
31,Boulevard de la Nation
32,Centre Commercial Chaillot
33,Chaillot
34,Chemin Blanc
35,Chemin de Bois Marteau
36,Chemin de Charnay
37,Chemin de Fougery (côté droit)
38,Chemin de Fougery (côté gauche)
39,Chemin de l'Abricot
40,Chemin de l'Étang du Verdin
41,Chemin de l'île Bragard
42,Chemin de l'Orme à Lieue
43,Chemin de la Bazinière
44,Chemin de la Bercetterie
45,Chemin de la Cour aux Taureaux
46,Chemin de la Craillo
47,Chemin de la Croix
48,Chemin de la Fosse du Gué
49,Chemin de la Fringale
50,Chemin de la Gaillardière
51,Chemin de la Giraudière
52,Chemin de la Gratouille
53,Chemin de la Jonchère
54,Chemin de la Jouannetterie
55,Chemin de la Maison Blanche
56,Chemin de la Petite Noue
57,Chemin de la Picardière
58,Chemin de la Prairie de l'Anglée
59,Chemin de la Touche
60,Chemin de la Trietterie
61,Chemin de la Vèvre
62,Chemin de Saint-Priest
63,Chemin des Ajoncs
64,Chemin des Assis
65,Chemin des Bergeries
66,Chemin des Bertes
67,Chemin des Blandières
68,Chemin des Chavannes
69,Chemin des Communaux de la Vèvre
70,Chemin des Crêles
71,Chemin des Érables
72,Chemin des Fondereaux
73,Chemin des Fougères
74,Chemin des Fromenteaux
75,Chemin des Gaudrets
76,Chemin des Genièvres
77,Chemin des Grandes Crêles
78,Chemin des Grandes Noues Fontaines
79,Chemin des Grandes Terres
80,Chemin des Grandes Vèves
81,Chemin des Grands Bois
82,Chemin des Grands Champs
83,Chemin des Grands Fourneaux
84,Chemin des Millards (côté droit 1ère partie)
85,Chemin des Millards (côté gauche)
86,Chemin des Péages
87,Chemin des Pelles
88,Chemin des Pillots
89,Chemin des Places
90,Chemin des Rechignardes
91,Chemin des Riaux
92,Chemin des Sables de Saint-Prie
93,Chemin des Tailles
94,Chemin des Tailles de la  Picardière
95,Chemin des Terres du Verdin
96,Chemin des Vallées
97,Chemin des Varennes
98,Chemin du Briou
99,Chemin du Camp
100,Chemin du Champ Chapelet
101,Chemin du Champ des Renards
102,Chemin du Cheval Moreau
103,Chemin du Chevry
104,Chemin du Cloître
105,Chemin du Gardois
106,Chemin du Grand Orme
107,Chemin du Joffrois
108,Chemin du Perdrier
109,Chemin du Pré Long
110,Chemin du Ruisseau des Rechignardes
111,Chemin du Stade Constant Duval
112,Chemin du Terrichon
113,Chemin du Tertre
114,Chemin du Verdin
115,Chemin du Vieux Domaine
116,Chemin du Village au Chevry
117,Chemin du Village d'en Haut
118,Chemin Pierre Dupont
119,Cité d'Urgence du Verdin
120,Clos de la Minée
121,Cour d'en Haut
122,Cour de Fougery
123,Cour des Donneaux
124,Dournon (côté droit)
125,Fay
126,Grande rue de la Genette
127,Groupe Scolaire Joliot-Curie
128,Guérigny (route de Bourges)
129,Guérigny (route de Saint Laurent)
130,Hameau de la Dumonerie
