animal_race,nom,animal_espece
1,American Curl,1
2,Oriental,1
3,Bobtail japonais,1
4,Burmilla,1
5,Chat de gouttière,1
6,Chinchilla,1
7,Laperm,1
8,Seregenti,1
9,Devon Rex,1
10,Turc de Van,1
11,Manx,1
12,Tonkinois,1
13,Norvégien,1
14,Bleu Russe,1
15,Angora Turc,1
16,Sphynx,1
17,Burmese,1
18,British Shorthair,1
19,Européen,1
20,Munchkin,1
21,Balinais,1
22,Sibérien,1
23,Korat,1
24,American Shorthair,1
25,Havana Brown,1
26,Bombay,1
27,German Rex,1
28,Highland Fold,1
29,Singapura,1
30,Sokoké,1
31,Mandarin,1
32,Mau Egyptien,1
33,Nebelung,1
34,Tiffany,1
35,York Chocolate,1
36,Abyssin,1
37,Exotic Shorthair,1
38,Ocicat,1
39,Bengal,1
40,Chartreux,1
41,Cornish Rex,1
42,Maine Coon,1
43,Persan,1
44,Ragdoll,1
45,Sacré de Birmanie,1
46,Scottish Fold,1
47,Siamois,1
48,Snowshoe,1
49,Somali,1
50,Affenpinscher,2
51,Airedale Terrier,2
52,Akita,2
53,Barzoï,2
54,Basenji,2
55,Basset fauve de Bretagne,2
56,Basset Hound,2
57,Bedlington,2
58,Berger allemand,2
59,Berger belge,2
60,Berger de Beauce,2
61,Berger des Abruzzes,2
62,Border Terrirer,2
63,Bouvier australien,2
64,Bouvier australien à courte queue,2
65,Bouvier bernois,2
66,Bouvier des Flandres,2
67,Boxer,2
68,Briard,2
69,Bull terrier,2
70,Bull Terrier de Staffordshire,2
71,Bulldog anglais,2
72,Bulldog français,2
73,Bullmastiff,2
74,Cairn terrier,2
75,Caniche,2
76,Carlin,2
77,Cavalier King Charles,2
78,Chien chinois à crête,2
79,Chien d'eau irlandais,2
80,Chien de Rhodésie,2
81,Chien du Pharaon,2
82,Chiens d'eau portugais,2
83,Chihuahua,2
84,Chow-chow,2
85,Clumber Spaniel,2
86,Cocker américain,2
87,Cocker anglais,2
88,Colley,2
89,Collie barbu,2
90,Dalmatien,2
91,Dandie Dinmont Terrier,2
92,Dobermann,2
93,Dogue de Bordeaux,2
94,Epagneul du Sussex,2
95,Épagneul japonais,2
96,Field Spaniel,2
97,Fox Terrier,2
98,Foxhound,2
99,Golden Retriever,2
100,Grand Münsterländer,2
101,Husky de Sibérie,2
102,Jack Russell,2
103,Keeshond,2
104,Kelpie australien,2
105,King Charles,2
106,Lakeland Terrier,2
107,Lévrier afghan,2
108,Lévrier anglais,2
109,Lévrier écossais,2
110,Lévrier irlandais,2
111,Levrier Persan,2
112,Lhassa Apso,2
113,Limier,2
114,Loulou de Poméranie,2
115,Malamute d'Alaska,2
116,Maltais,2
117,Mastiff,2
118,Montagne des Pyrénées,2
119,Pékinois,2
120,Petit Basset Griffon Vendéen,2
121,Petit Chien lion,2
122,Petit Lévrier italien,2
123,Pinscher nain,2
124,Pointer allemand à poil court,2
125,Pointer allemand à poil dur,2
126,Puli,2
127,Retriever à poil bouclé,2
128,Retriever à poil plat,2
129,Retriever de la Baie de Chesapeake,2
130,Retriever de la Nouvelle-Ecosse,2
131,Saint-Bernard,2
132,Schipperke,2
133,Schnauzer,2
134,Setter Gordon,2
135,Setter irlandais,2
136,Setters anglais,2
137,Shar-Peï,2
138,Shetland,2
139,Shih Tzus,2
140,Silky Terrier australien,2
141,Skye Terrier,2
142,Spitz des Wisigoths,2
143,Spitz finlandais,2
144,Spitz japonais,2
145,Springer gallois,2
146,Teckel,2
147,Terre-Neuve,2
148,Terrier australien,2
149,Terrier de Boston,2
150,Terrier de Norfolk,2
151,Terrier de Norwich,2
152,Terrier de Sealyham,2
153,Terrier écossais,2
154,Terrier irlandais,2
155,Terrier irlandais à poil doux,2
156,Terrier tibétain,2
157,Toy Terrier Anglais,2
158,Vizsla,2
159,Welsh Corgi,2
160,Westie,2
161,Whippet,2
162,Border Collie,2
163,Chien Papillon,2
164,Épagneul Breton,2
165,Bichon frisé,2
166,Yorkshire,2
167,Braque de Weimar,2
168,Rottweiler,2
169,Labrador,2
170,Beagle,2
171,Samoyède,2
172,Dogue allemand,2
173,Berger australien,2
174,Griffon bruxellois,2
175,Pointer,2
