"ville","nom","code_postal"
1,Achères,18250
2,Ainay-le-Vieil,18200
3,les Aix-d'Angillon,18220
4,Allogny,18110
5,Allouis,18500
6,Annoix,18340
7,Apremont-sur-Allier,18150
8,Arçay,18340
9,Arcomps,18200
10,Ardenais,18170
11,Argent-sur-Sauldre,18410
12,Argenvières,18140
13,Arpheuilles,18200
14,Assigny,18260
15,Aubigny-sur-Nère,18700
16,Aubinges,18220
17,Augy-sur-Aubois,18600
18,Avord,18520
19,Azy,18220
20,Bannay,18300
21,Bannegon,18210
22,Barlieu,18260
23,Baugy ,18800
24,Beddes,18370
25,Beffes,18320
26,Belleville-sur-Loire,18240
27,Bengy-sur-Craon,18520
28,Berry-Bouy,18500
29,Bessais-le-Fromental,18210
30,Blancafort,18410
31,Blet,18350
32,Boulleret,18240
33,Bourges [3],18000
34,Bouzais,18200
35,Brécy,18220
36,Brinay,18120
37,Brinon-sur-Sauldre,18410
38,Bruère-Allichamps,18200
39,Bué,18300
40,Bussy,18130
41,la Celette,18360
42,la Celle,18200
43,la Celle-Condé,18160
44,Cerbois,18120
45,Chalivoy-Milon,18130
46,Chambon,18190
47,la Chapelle-d'Angillon,18380
48,la Chapelle-Hugon,18150
49,la Chapelle-Montlinard,18140
50,la Chapelle-Saint-Ursin,18570
51,la Chapelotte,18250
52,Charenton-du-Cher,18210
53,Charentonnay,18140
54,Charly,18350
55,Chârost,18290
56,Chassy,18800
57,Châteaumeillant,18370
58,Châteauneuf-sur-Cher,18190
59,le Châtelet,18170
60,Chaumont,18350
61,Chaumoux-Marcilly,18140
62,le Chautay,18150
63,Chavannes,18190
64,Chéry,18120
65,Chezal-Benoît,18160
66,Civray,18290
67,Clémont,18410
68,Cogny,18130
69,Colombiers,18200
70,Concressault,18260
71,Contres,18130
72,Cornusse,18350
73,Corquoy ,18190
74,Couargues,18300
75,Cours-les-Barres,18320
76,Coust,18210
77,Couy,18140
78,Crézançay-sur-Cher,18190
79,Crézancy-en-Sancerre,18300
80,Croisy,18350
81,Crosses,18340
82,Cuffy,18150
83,Culan,18270
84,Dampierre-en-Crot,18260
85,Dampierre-en-Graçay,18310
86,Drevant,18200
87,Dun-sur-Auron,18130
88,Ennordres,18380
89,Épineuil-le-Fleuriel,18360
90,Étréchy,18800
91,Farges-Allichamps,18200
92,Farges-en-Septaine,18800
93,Faverdines,18360
94,Feux,18300
95,Flavigny,18350
96,Foëcy,18500
97,Fussy,18110
98,Gardefort,18300
99,Garigny,18140
100,Genouilly,18310
101,Germigny-l'Exempt,18150
102,Givardon,18600
103,Graçay,18310
104,Groises,18140
105,Gron,18800
106,Grossouvre,18600
107,la Groutte,18200
108,la Guerche-sur-l'Aubois,18150
109,Henrichemont,18250
110,Herry,18140
111,Humbligny,18250
112,Ids-Saint-Roch,18170
113,Ignol,18350
114,Ineuil,18160
115,Ivoy-le-Pré,18380
116,Jalognes,18300
117,Jars,18260
118,Jouet-sur-l'Aubois,18320
119,Jussy-Champagne,18130
120,Jussy-le-Chaudrier,18140
121,Lantan,18130
122,Lapan,18340
